Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type,Language
Gomorrah,2014,18+,8.7,94%,True,False,False,False,True,[]
Making a Murderer,2015,16+,8.6,84%,True,False,False,False,True,English
Death Note,2006,18+,9.0,,True,True,False,False,True,Japanese
Castlevania,2017,18+,8.2,93%,True,False,False,False,True,English
Riverdale,2017,16+,7.0,86%,True,False,False,False,True,English
Burn Notice,2007,7+,7.9,88%,True,True,True,False,True,English
Fauda,2015,16+,8.3,100%,True,False,False,False,True,Hebrew
Russian Doll,2019,18+,7.9,96%,True,False,False,False,True,English
Our Planet,2019,7+,9.3,93%,True,False,False,False,True,English
Big Mouth,2017,18+,8.0,100%,True,False,False,False,True,English
American Horror Story,2011,18+,8.0,,True,True,True,False,True,English
Gotham,2014,16+,7.8,77%,True,False,False,False,True,English
I Am Not Okay with This,2020,18+,7.6,85%,True,False,False,False,True,[]
Criminal Minds,2005,16+,8.1,,True,False,False,False,True,English
The Vietnam War,2017,18+,9.1,98%,True,False,False,False,True,English
Waco,2018,18+,7.9,68%,True,False,False,False,True,English
Star Trek,1966,7+,8.3,80%,True,True,True,False,True,English
The OA,2016,16+,7.9,84%,True,False,False,False,True,English
Outer Banks,2020,18+,7.6,72%,True,False,False,False,True,English
The Midnight Gospel,2020,18+,8.4,90%,True,False,False,False,True,English
Good Girls,2018,16+,7.9,87%,True,True,False,False,True,English
Chilling Adventures of Sabrina,2018,16+,7.6,84%,True,False,False,False,True,English
Doctor Foster,2015,16+,7.7,85%,True,False,False,False,True,English
Gilmore Girls,2000,16+,8.1,85%,True,False,False,False,True,English
iZombie,2015,16+,7.9,91%,True,False,False,False,True,English
Anne with an E,2017,7+,8.6,62%,True,False,False,False,True,English
A Series of Unfortunate Events,2017,7+,7.8,96%,True,False,False,False,True,English
Neon Genesis Evangelion,1995,16+,8.5,100%,True,False,False,False,True,Japanese
Into the Badlands,2015,16+,8.0,83%,True,False,False,False,True,English
Monty Python's Flying Circus,1969,16+,8.8,100%,True,False,False,False,True,English
Jane the Virgin,2014,7+,7.8,100%,True,False,False,False,True,English
Halt and Catch Fire,2014,16+,8.4,90%,True,False,False,False,True,English
Grace and Frankie,2015,7+,8.3,89%,True,False,False,False,True,English
NCIS,2003,16+,7.8,40%,True,False,False,False,True,English
Weeds,2005,18+,7.9,70%,True,False,False,False,True,English
GLOW,2017,18+,8.0,93%,True,False,False,False,True,English
Person of Interest,2011,16+,8.4,,True,False,False,False,True,English
13 Reasons Why,2017,18+,7.8,39%,True,False,False,False,True,English
Godless,2017,16+,8.3,85%,True,False,False,False,True,English
Locked Up,2015,16+,8.3,100%,True,False,False,False,True,[]
Mushi-Shi,2005,16+,8.5,100%,True,True,True,False,True,Japanese
Gossip Girl,2008,16+,7.4,84%,True,False,False,False,True,English
Unbreakable Kimmy Schmidt,2015,16+,7.6,96%,True,False,False,False,True,English
Lost in Space,2018,7+,7.3,75%,True,False,False,False,True,English
Scandal,2012,16+,7.7,93%,True,False,False,False,True,English
Hunter x Hunter,2011,16+,8.9,,True,True,False,False,True,Japanese
One Day at a Time,2017,7+,8.2,99%,True,False,False,False,True,English
DC's Legends of Tomorrow,2016,16+,6.8,87%,True,False,False,False,True,English
Manhunt,2017,16+,8.1,93%,True,False,False,False,True,English
Naruto,2002,7+,8.3,,True,True,False,False,True,Japanese
