Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type,Actors
Ozark,2017,18+,8.4,81%,True,False,False,False,True,"['Jason Bateman', 'Sofia Hublitz', 'Laura Linney', 'Skylar Gaertner', 'Julia Garner', 'Janet McTeer', 'Lisa Emery', 'Charlie Tahan', 'Tom Pelphrey', 'Jessica Frances Dukes', 'Jason Butler Harner', 'Jordana Spiro', 'Esai Morales', 'Peter Mullan']"
Attack on Titan,2013,16+,8.8,94%,True,True,False,False,True,"['Marina Inoue', 'Yui Ishikawa', 'Yûki Kaji', 'Hiroshi Kamiya', 'Shiori Mikami', 'Daisuke Ono']"
Narcos,2015,18+,8.8,89%,True,False,False,False,True,"['Pedro Pascal', 'Boyd Holbrook', 'Wagner Moura', 'Alberto Ammann', 'Paulina Gaitan', 'Raúl Méndez', 'Damián Alcázar', 'Francisco Denis', 'Diego Cataño', 'Paulina Garcia', 'Joanna Christie', 'Maurice Compte', 'Manolo Cardona', 'Bruno Bichir', 'Matias Varela', 'Arturo Castro', 'Andrea Londo', 'Jorge Jimenez', 'Eric Lange', 'Pêpê Rapazote', 'Michael Stahl-David', 'Matt Whelan', 'Stephanie Sigman', 'Cristina Umaña', 'Roberto Urbina', 'André Mattos', 'Florencia Lozano', 'Javier Cámara', 'Kerry Bishé', 'José María Yázpik']"
Fullmetal Alchemist: Brotherhood,2009,18+,9.1,100%,True,True,False,False,True,"['Rie Kugimiya', 'Romi Park', 'Megumi Takamoto', 'Shinichiro Miki', 'Fumiko Orikasa', 'Kenji Utsumi', 'Keiji Fujiwara', 'Hidekatsu Shibata', 'Hiroyuki Yoshino', 'Kaori Nazuka', 'Kenji Hamada', 'Kenta Miyake', 'Kikuko Inoue', 'Kouichi Yamadera', 'Minami Takayama', 'Tetsu Shiratori', 'Yuji Ueda']"
Community,2009,7+,8.5,88%,True,True,False,False,True,"['Joel McHale', 'Gillian Jacobs', 'Danny Pudi', 'Alison Brie', 'Yvette Nicole Brown', 'Jim Rash', 'Ken Jeong', 'Donald Glover', 'Chevy Chase']"
Mindhunter,2017,18+,8.6,96%,True,False,False,False,True,[]
Parks and Recreation,2009,16+,8.6,93%,True,True,True,False,True,"['Amy Poehler', 'Nick Offerman', 'Aubrey Plaza', 'Aziz Ansari', ""Jim O'Heir"", 'Retta', 'Chris Pratt', 'Rashida Jones', 'Adam Scott', 'Rob Lowe', 'Paul Schneider']"
Dexter,2006,18+,8.6,72%,True,False,False,False,True,"['Michael C. Hall', 'Jennifer Carpenter', 'David Zayas', 'Lauren Vélez', 'James Remar', 'C.S. Lee', 'Desmond Harrington', 'Julie Benz', 'Geoff Pierson', 'Aimee Garcia', 'Erik King', 'Clancy Brown']"
Marvel's Daredevil,2015,18+,8.6,92%,True,False,False,False,True,"['Charlie Cox', 'Deborah Ann Woll', 'Elden Henson', ""Vincent D'Onofrio"", 'Jay Ali', 'Jon Bernthal', 'Stephen Rider', 'Ayelet Zurer', 'Wilson Bethel', 'Toby Leonard Moore', 'Elodie Yung', 'Bob Gunton', 'Vondie Curtis-Hall', 'Joanne Whalley', 'Rosario Dawson']"
The Witcher,2019,18+,8.3,67%,True,False,False,False,True,"['Henry Cavill', 'Freya Allan', 'Anya Chalotra', 'Mimi Ndiweni', 'Eamon Farren', 'MyAnna Buring', 'Wilson Radjou-Pujalte', 'Joey Batey', 'Royce Pierreson', 'Anna Shaffer', 'Mahesh Jadu', 'Kim Bodnia']"
