Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type,Genres
Dead to Me,2019,18+,8.1,91%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Crime', 'Mystery']"
Unorthodox,2020,18+,8.1,94%,TRUE,FALSE,FALSE,FALSE,TRUE,['Drama']
Sense8,2015,18+,8.3,86%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Science-Fiction', 'Thriller']"
Sacred Games,2018,18+,8.7,92%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Action', 'Crime']"
American Crime Story,2016,18+,8.4,93%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Crime']"
Family Guy,1999,18+,8.1,71%,TRUE,TRUE,FALSE,FALSE,TRUE,"['Comedy', 'Family']"
Pretty Little Liars,2010,16+,7.4,81%,TRUE,TRUE,FALSE,FALSE,TRUE,"['Romance', 'Thriller', 'Mystery']"
Unbelievable,2019,18+,8.4,97%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Crime', 'Thriller']"
Arrow,2012,16+,7.6,85%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Action', 'Science-Fiction']"
The IT Crowd,2006,16+,8.5,87%,TRUE,FALSE,FALSE,FALSE,TRUE,['Comedy']
The Twilight Zone,1959,7+,9,82%,TRUE,TRUE,FALSE,FALSE,TRUE,"['Drama', 'Horror']"
YOU,2018,18+,7.8,91%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Romance', 'Thriller']"
Sex Education,2019,16+,8.3,94%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Comedy']"
"Tiger King: Murder, Mayhem and Madness",2020,18+,7.8,86%,TRUE,FALSE,FALSE,FALSE,TRUE,['Crime']
Star Trek: The Next Generation,1987,7+,8.6,89%,TRUE,TRUE,TRUE,FALSE,TRUE,"['Action', 'Adventure', 'Science-Fiction']"
Broadchurch,2013,18+,8.4,92%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Crime', 'Mystery']"
Kingdom,2019,18+,8.4,96%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Family', 'Sports']"
Altered Carbon,2018,18+,8.1,64%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Crime', 'Science-Fiction']"
The Sinner,2017,16+,8,95%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Crime', 'Thriller']"
