Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type,Genres
Griselda Blanco: The Black Widow,2014,16+,7.1,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Escape to the Continent,2014,,7.5,,TRUE,FALSE,FALSE,FALSE,TRUE,['Travel']
Killer Ratings,2019,18+,8,,TRUE,FALSE,FALSE,FALSE,TRUE,['Crime']
Puffin Rock,2015,all,8.7,,TRUE,FALSE,FALSE,FALSE,TRUE,['Children']
Keizersvrouwen,2019,18+,6,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Ad Vitam,2018,7+,6.4,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Science-Fiction']"
Residue,2015,16+,6.1,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Horror', 'Science-Fiction', 'Thriller']"
Live,2018,16+,8.4,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Fate/Apocrypha,2017,18+,6.5,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Action', 'Anime', 'Fantasy']"
Total Drama Presents: The Ridonculous Race,2015,7+,6.6,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Doomsday Preppers,2011,7+,6.1,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
"Can't Cope, Won't Cope",2016,,7.3,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Comedy']"
Lunatics,2019,18+,6.6,,TRUE,FALSE,FALSE,FALSE,TRUE,['Comedy']
The Big Flower Fight,2020,,7.7,43%,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Criminal: Spain,2019,7+,6.9,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Crime', 'Mystery']"
Can't Pay? We'll Take It Away!,2014,18+,7.2,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Twice Upon a Time,2019,,6.3,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Embarrassing Bodies,2007,18+,7,,TRUE,FALSE,FALSE,FALSE,TRUE,['Medical']
Sea of Plastic,2015,,7.2,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Two Sentence Horror Stories,2019,,5.5,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Horror']"
Paranormal Survivor,2015,7+,6.3,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Supernatural']"
Babies,2020,,6.9,67%,TRUE,FALSE,FALSE,FALSE,TRUE,[]
The Ghost Bride,2020,18+,5.8,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Fantasy', 'History']"
Brainchild,2018,7+,8,,TRUE,FALSE,FALSE,FALSE,TRUE,['Children']
Einsatzgruppen: The Nazi Death Squads,2009,,7.6,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
FIGHTWORLD,2018,18+,7.7,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
The Real Football Factories,2006,,7.6,,TRUE,FALSE,FALSE,FALSE,TRUE,['Sports']
The Garfield Show,2009,all,5.3,,TRUE,FALSE,TRUE,FALSE,TRUE,"['Comedy', 'Adventure']"
Bumping Mics with Jeff Ross & Dave Attell,2018,18+,7.7,,TRUE,FALSE,FALSE,FALSE,TRUE,['Comedy']
20 Minutes,2013,,6.8,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
A Thousand Days' Promise,2011,16+,8.1,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Romance']"
Spirit: Riding Free,2017,7+,6.4,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
So Awkward,2015,,7.5,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Comedy', 'Children']"
Murder Maps,2015,16+,7.5,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Crime']"
Wizards vs Aliens,2012,7+,6.5,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Fantasy', 'Science-Fiction']"
Shot in the Dark,2017,18+,8.3,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Here to Heart,2018,7+,8,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Romance']"
Littlest Pet Shop,2012,all,6.1,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Comedy', 'Adventure', 'Family']"
21 Sarfarosh - Saragarhi 1897,2018,16+,8.1,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Hidden Worlds,2018,all,6.9,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Secrets of Great British Castles,2015,7+,7.8,,TRUE,FALSE,FALSE,FALSE,TRUE,['History']
The Wiggles,1998,all,5.7,,TRUE,FALSE,FALSE,FALSE,TRUE,['Children']
Grand Designs Australia,2010,all,7.2,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
The Kindness Diaries,2017,,8.1,,TRUE,FALSE,TRUE,FALSE,TRUE,"['Adventure', 'Travel']"
Release the Hounds,2013,,6.8,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Max Steel,2013,7+,6.7,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Action', 'Science-Fiction']"
Fallet,2017,,6.8,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Comedy', 'Crime']"
Louis Theroux: Miami Mega-Jail,2011,18+,7.6,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
The Neighbor,2019,18+,6.5,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
The Expanding Universe of Ashley Garcia,2020,,6.5,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Comedy', 'Family']"
Mortel,2019,18+,6.4,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Crime', 'Fantasy']"
Shark,2015,,8.5,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Let's Eat,2013,16+,7.7,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Comedy', 'Romance']"
Sisters,2017,,7.6,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
The Frozen Dead,2017,,6.3,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
A.I.C.O. -Incarnation-,2018,18+,6.4,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Girls Incarcerated,2018,18+,7.3,,TRUE,FALSE,FALSE,FALSE,TRUE,['Crime']
Secret Agent Selection: WW2,2018,,7.6,,TRUE,FALSE,FALSE,FALSE,TRUE,"['War', 'History']"
Fary: Hexagone,2020,,6.3,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Cannabis,2016,16+,6.9,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Action', 'Crime']"
Bill Nye Saves the World,2017,7+,3.6,75%,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Scare Tactics,2003,16+,6.7,,TRUE,FALSE,FALSE,FALSE,TRUE,['Comedy']
A User's Guide to Cheating Death,2017,16+,7.6,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Food', 'Medical']"
The Day I Met El Chapo: The Kate del Castillo Story,2017,18+,6.9,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Chelsea,2016,18+,6.1,41%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Comedy', 'Travel']"
Dinner for Five,2001,18+,8.1,,TRUE,FALSE,FALSE,FALSE,TRUE,['Comedy']
The Chosen One,2019,18+,5.6,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Trailer Park Boys: The Animated Series,2019,18+,7.5,,TRUE,FALSE,FALSE,FALSE,TRUE,['Comedy']
The Royal House of Windsor,2017,16+,7.4,,TRUE,FALSE,FALSE,FALSE,TRUE,['History']
Playing with Fire,2019,18+,6.1,,TRUE,FALSE,FALSE,FALSE,TRUE,['Drama']
Love Through a Millennium,2015,,7.7,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
SWORD GAI: The Animation,2018,18+,5.9,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
My Life,2014,all,7.9,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Skylanders Academy,2016,7+,6.5,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Comedy', 'Adventure', 'Fantasy']"
Powder,1995,13+,6.6,50%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Action', 'Crime']"
Dancing Queen,2018,7+,6.9,,TRUE,FALSE,FALSE,FALSE,TRUE,['Music']
Sid the Science Kid,2008,all,5.4,80%,TRUE,FALSE,FALSE,FALSE,TRUE,['Children']
Cagaster of an Insect Cage,2020,18+,6.1,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Action', 'Anime', 'Science-Fiction']"
Absurd Planet,2020,7+,3.8,,TRUE,FALSE,FALSE,FALSE,TRUE,['Nature']
Last Chance to See,2009,7+,8.3,,TRUE,FALSE,FALSE,FALSE,TRUE,['Nature']
The Prince of Tennis,2019,,8.3,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Sports']"
Behind Enemy Lines,2001,13+,6.4,37%,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Chuggington,2008,all,5.9,,TRUE,TRUE,FALSE,FALSE,TRUE,[]
Triad Princess,2019,18+,7,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Crime', 'Romance']"
Bitter Daisies,2018,18+,7.2,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Steampunk'd,2015,,5.8,,TRUE,TRUE,FALSE,FALSE,TRUE,['DIY']
Old Money,2015,7+,7.6,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Trailer Park Boys: Out of the Park: Europe,2016,18+,6.6,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Comedy', 'Adventure', 'Crime']"
Bel Ami,2013,,6.3,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Comedy', 'Romance']"
Fastest Car,2018,,7.1,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
"Nisman: El fiscal, la presidenta y el espía",2020,,7.7,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
1994,2019,18+,8,,TRUE,FALSE,FALSE,FALSE,TRUE,['Drama']
Shadow,2019,7+,6.5,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Action', 'Adventure', 'Crime']"
Jailbirds,2019,18+,7.2,,TRUE,FALSE,FALSE,FALSE,TRUE,['Drama']
To Be Continued,2015,all,,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Fantasy', 'Romance']"
Peasants Rebellion,2018,,8.9,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Raiders of the Lost Art,2016,all,8.1,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Borderline,2016,16+,7.1,,TRUE,FALSE,FALSE,FALSE,TRUE,['Comedy']
Refresh Man,2016,,7.6,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Comedy', 'Romance']"
Granblue Fantasy: The Animation,2017,,6.4,,TRUE,FALSE,TRUE,FALSE,TRUE,[]
El día menos pensado,2020,,7.4,,TRUE,FALSE,FALSE,FALSE,TRUE,['Sports']
Geronimo Stilton,2009,all,6.7,,TRUE,FALSE,TRUE,FALSE,TRUE,"['Comedy', 'Adventure', 'Family']"
Kikoriki,2004,all,7.4,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Oh My Ghost,2015,,7.2,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Comedy', 'Romance', 'Supernatural']"
Meet the Drug Lords: Inside the Real Narcos,2018,7+,7.6,,TRUE,FALSE,FALSE,FALSE,TRUE,['Crime']
Atelier,2015,16+,7.4,,TRUE,FALSE,FALSE,FALSE,TRUE,['Drama']
Raja Rasoi Aur Anya Kahaniyan,2015,,8.8,,TRUE,FALSE,TRUE,FALSE,TRUE,[]
Scam City,2012,,8,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Enemigo íntimo,2018,16+,7.7,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Hardy Bucks,2010,7+,8.3,,TRUE,FALSE,FALSE,FALSE,TRUE,['Comedy']
The A List,2018,,5.3,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Mystery', 'Supernatural']"
The Piano Forest,2018,7+,7.1,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Little Lunch,2014,all,8.2,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Comedy', 'Children']"
Wild Catch / Chasing Monsters,2016,,7.6,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Kaçak,2013,,6.7,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Sweet Magnolias,2020,16+,6.9,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Romance']"
The Break with Michelle Wolf,2018,18+,5.2,81%,TRUE,FALSE,FALSE,FALSE,TRUE,['Comedy']
The Dark Charisma of Adolf Hitler,2012,,7.3,,TRUE,FALSE,FALSE,FALSE,TRUE,['History']
White Rabbit Project,2016,7+,6.9,,TRUE,FALSE,FALSE,FALSE,TRUE,['Adventure']
Last,2015,16+,7.5,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Moving Art,2007,7+,8.7,,TRUE,FALSE,FALSE,FALSE,TRUE,['Nature']
Solomon's Perjury,2016,,7.5,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Crime', 'Mystery', 'Legal']"
The Disastrous Life of Saiki K.: Reawakened,2019,,7.8,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Comedy', 'Anime', 'Supernatural']"
Lost & Found Music Studios,2015,all,6.7,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Music', 'Romance']"
Lords and Ladles,2015,,8.1,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Summertime,2020,18+,6.7,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Romance']"
Transformers: Robots In Disguise,2015,all,6,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Fried,2015,,6.2,,TRUE,FALSE,FALSE,FALSE,TRUE,['Comedy']
Monty Don's Italian Gardens,2011,,8.3,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
The Epic Tales of Captain Underpants,2018,7+,6.8,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Comedy', 'Action', 'Science-Fiction']"
Followers,2020,18+,6.2,,TRUE,FALSE,FALSE,FALSE,TRUE,['Drama']
Back to 1989,2016,,8.2,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Fantasy', 'Romance']"
The Story of Maths,2008,all,8,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Strangers From Hell,2019,,8,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Examination of Conscience,2019,18+,8,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Go! Go! Cory Carson,2020,all,8.1,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Adventure', 'Children']"
Ghost-Seeing Detective Cheo-Yong,2014,16+,7.3,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
I Hear You,2019,all,7.8,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Romance']"
The Cat in the Hat Knows a Lot About That!,2010,all,6.5,,TRUE,FALSE,TRUE,FALSE,TRUE,[]
Dinosaur King,2007,7+,5.5,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Adventure', 'Anime']"
The Club,2019,,6.2,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
72 Dangerous Animals: Latin America,2017,16+,6.8,,TRUE,FALSE,FALSE,FALSE,TRUE,['Nature']
Amazing Interiors,2018,all,6.7,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
The Forest of Love: Deep Cut,2020,,6.5,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Crime', 'Thriller']"
Levius,2019,,7,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Action', 'Anime', 'Science-Fiction']"
Blackstone,2011,,7.3,,TRUE,FALSE,FALSE,FALSE,TRUE,['Drama']
Prank Encounters,2019,18+,5,40%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Comedy', 'Horror']"
Amazing Hotels: Life Beyond the Lobby,2017,,7.7,,TRUE,FALSE,FALSE,FALSE,TRUE,['Travel']
Dragon Pilot: Hisone and Masotan,2018,16+,6.9,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Interior Design Masters,2019,,6.7,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Mighty Little Bheem,2019,all,7.9,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Comedy', 'Adventure', 'Children']"
100% Hotter,2016,,4.4,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Legend of Chu and Han,2012,,,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Keeping up with the Joneses,2010,,8.5,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Apache: La vida de Carlos Tevez,2019,18+,7.9,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Sports']"
Flavorful Origins,2019,all,7.6,,TRUE,FALSE,FALSE,FALSE,TRUE,['Food']
Pup Academy,2019,,6.6,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Adventure', 'Children']"
Oyunbozan,2019,,6.8,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Romance']"
Take My Brother Away,2018,all,7.9,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Coach Snoop,2016,all,6.8,,TRUE,FALSE,FALSE,FALSE,TRUE,['Sports']
Johnny Test,2005,all,4.9,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Comedy', 'Science-Fiction']"
Ask the Storybots,2016,all,8.1,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Blown Away,2019,7+,6.8,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Wild Arabia,2013,all,8,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Nature', 'Travel']"
Glitter Force,2012,,6.5,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Pac-Man and the Ghostly Adventures,2013,7+,4.8,,TRUE,FALSE,TRUE,FALSE,TRUE,[]
True Crime,2010,,6.3,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Hibana: Spark,2016,,8.1,,TRUE,FALSE,FALSE,FALSE,TRUE,['Drama']
Back with the Ex,2019,,6.3,,TRUE,FALSE,FALSE,FALSE,TRUE,['Romance']
72 Dangerous Animals: Asia,2018,16+,6.6,,TRUE,FALSE,FALSE,FALSE,TRUE,['Nature']
Danger Mouse,2015,all,7.1,,TRUE,FALSE,FALSE,FALSE,TRUE,['Children']
The Story of Us with Morgan Freeman,2017,,7.5,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
The Comedy Lineup,2018,18+,5.7,100%,TRUE,FALSE,FALSE,FALSE,TRUE,['Comedy']
Monzón: A Knockout Blow,2019,18+,8,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Crime']"
The Beginning of Life: The Series,2016,all,7.6,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Selling Sunset,2019,,5.5,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Sintonia,2019,18+,6.6,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Action', 'Crime']"
Holiday Secrets,2019,16+,6.4,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Kevin Hart: Don't F**k This Up,2019,18+,6.5,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Maniac,2015,,7,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Comedy', 'Science-Fiction']"
Lost Song,2018,16+,7.1,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Anime', 'Fantasy']"
Yago,2016,7+,7.2,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Action', 'Crime']"
Nura: Rise of the Yokai Clan,2010,,7.6,,TRUE,TRUE,FALSE,FALSE,TRUE,[]
The Great Interior Design Challenge,2014,7+,7.3,,TRUE,FALSE,FALSE,FALSE,TRUE,['DIY']
My Little Lover,2015,,6.9,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Tientsin Mystic,2017,7+,7.3,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Fantasy', 'Mystery']"
Nadiya's Time to Eat,2019,,7.4,,TRUE,FALSE,FALSE,FALSE,TRUE,['Food']
Redfern Now,2012,,8,,TRUE,FALSE,FALSE,FALSE,TRUE,['Drama']
Super Drags,2018,18+,5.6,,TRUE,FALSE,FALSE,FALSE,TRUE,['Comedy']
Just You,2013,,7.4,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Comedy', 'Romance']"
Zak Storm,2016,,7.1,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
An Hour to Save Your Life,2014,,8.9,,TRUE,FALSE,FALSE,FALSE,TRUE,['Medical']
Yanxi Palace: Princess Adventures,2019,,6,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Romance']"
Gentlemen & Gangsters,2016,,7,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Romance']"
Malibu Rescue: The Series,2019,,5.1,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Comedy', 'Action', 'Family']"
Toon,2016,,7.7,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Comedy']"
Monkey Planet,2014,7+,8.5,,TRUE,FALSE,FALSE,FALSE,TRUE,['Nature']
Monster Garage,2002,7+,5.9,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Filinta : Bir Osmanlı Polisiyesi,2014,,6.7,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Oscar's Oasis,2010,,7.5,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Comedy', 'Adventure', 'Children']"
Brojects,2016,,8,,TRUE,FALSE,FALSE,FALSE,TRUE,['DIY']
The Murder Detectives,2015,,7.7,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Crime']"
PopPixie,2011,all,5.6,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Adventure', 'Children', 'Fantasy']"
The Bionic Vet,2010,,8.7,,TRUE,FALSE,FALSE,FALSE,TRUE,['Medical']
Ladies Up,2020,,4.1,,TRUE,FALSE,FALSE,FALSE,TRUE,['Comedy']
Angry Birds Toons,2013,all,6.2,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Comedy', 'Children']"
Maradona in Mexico,2019,,7.3,,TRUE,FALSE,FALSE,FALSE,TRUE,['Sports']
Nowhere Man,2019,18+,5.4,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Thriller', 'Supernatural']"
Cheer Squad,2016,7+,7.3,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Motown Magic,2018,all,7.9,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Children', 'Music']"
Pop Team Epic,2018,18+,6.8,,TRUE,FALSE,TRUE,FALSE,TRUE,['Comedy']
A Little Help with Carol Burnett,2018,,6,,TRUE,FALSE,FALSE,FALSE,TRUE,['Comedy']
Fartsa,2015,,6.5,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Mia and Me,2012,all,6.6,,TRUE,FALSE,FALSE,FALSE,TRUE,['Children']
Warrior,2018,,6.7,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Action', 'Crime']"
Pega Pega,2017,,6.3,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Comedy', 'Romance']"
Oddbods,2015,7+,6.3,,TRUE,TRUE,TRUE,FALSE,TRUE,"['Comedy', 'Children']"
VR Troopers,1994,7+,5.7,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Nightmare Teacher,2016,,7.1,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Mystery']"
Legend Quest,2017,7+,7.5,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Adventure', 'Children', 'Fantasy']"
On Children,2018,,7.3,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Family', 'Science-Fiction']"
Legend Quest: Masters of Myth,2019,,8.2,,TRUE,FALSE,FALSE,FALSE,TRUE,['Children']
Don't Call Me Crazy,2013,,7.5,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Taco Chronicles,2019,7+,8.5,,TRUE,FALSE,FALSE,FALSE,TRUE,['Food']
The Big Family Cooking Showdown,2017,7+,7.1,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Inhuman Resources,2020,,7.1,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Fearless,2016,,7.1,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Thriller']"
Archibald's Next Big Thing,2019,7+,7.7,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Comedy', 'Adventure', 'Children']"
Killer Women with Piers Morgan,2016,,6.5,,TRUE,FALSE,FALSE,FALSE,TRUE,['Crime']
Memory Love,2017,,8.2,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Romance']"
Minute to Win It,2010,7+,5.1,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Wildest Islands,2012,,8.1,,TRUE,FALSE,TRUE,FALSE,TRUE,['Nature']
Buddy Thunderstruck,2017,7+,7.6,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Comedy', 'Action', 'Children']"
West Coast Customs,2011,,6.1,,TRUE,FALSE,TRUE,FALSE,TRUE,[]
Ice Road Rescue,2015,,8.6,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Cain and Abel,2009,,7.7,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Action', 'Romance']"
Bernard,2006,7+,6.1,,TRUE,FALSE,TRUE,FALSE,TRUE,"['Comedy', 'Children']"
Monkey Life,2007,,8.8,,TRUE,FALSE,FALSE,FALSE,TRUE,['Nature']
Strawberry Shortcake,2003,all,4.8,,TRUE,FALSE,FALSE,FALSE,TRUE,['Children']
Los heroes del norte,2011,16+,7.2,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Big Bad Beetleborgs,1996,7+,6.3,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Moving On,2009,,7.3,,TRUE,FALSE,TRUE,FALSE,TRUE,['Drama']
Beat Bugs,2016,all,7.6,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Adventure', 'Children']"
Basketball or Nothing,2019,7+,7.5,,TRUE,FALSE,FALSE,FALSE,TRUE,['Sports']
The Iliza Shlesinger Sketch Show,2020,18+,4.8,,TRUE,FALSE,FALSE,FALSE,TRUE,['Comedy']
Netflix Presents: The Characters,2016,,5.1,,TRUE,FALSE,FALSE,FALSE,TRUE,['Comedy']
Days We Stared at the Sun,2010,16+,7.9,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Julie's Greenroom,2017,,8.3,,TRUE,FALSE,FALSE,FALSE,TRUE,['Children']
13 Reasons Why: Beyond the Reasons,2017,18+,6.5,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
La Ley secreta,2018,,7.4,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Dinotrux,2015,7+,7,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Action', 'Children']"
Talking Tom and Friends,2014,all,6.2,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Re:Mind,2017,18+,5,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Thriller', 'Mystery']"
Diamond Lover,2015,,6.2,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Comedy', 'Romance']"
Outback Truckers,2012,,7.5,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Action', 'Adventure']"
Astronomy Club: The Sketch Show,2019,18+,6.9,,TRUE,FALSE,FALSE,FALSE,TRUE,['Comedy']
MegaTruckers,2012,,6.9,,TRUE,FALSE,FALSE,FALSE,TRUE,[]
The Fix,2018,18+,7.1,,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Thriller', 'Legal']"
