Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type,Decade,Actors,Producers,Genres,Language
Rilakkuma and Kaoru,2019,7+,8.4,100%,True,False,False,False,True,2010,[],[],"['Drama', 'Anime', 'Family']",Japanese
Scooby-Doo! Mystery Incorporated,2010,7+,8.0,,True,False,False,False,True,2010,"['Matthew Lillard', 'Mindy Cohn', 'Grey Griffin', 'Frank Welker', 'Frank Welker']",['Sam Register'],"['Comedy', 'Action', 'Adventure']",English
anohana: The Flower We Saw That Day,2011,16+,8.2,,True,False,False,False,True,2010,[],[],[],[]
Africa,2013,all,9.0,,True,False,False,False,True,2010,['David Attenborough'],[],['Nature'],English
The Frankenstein Chronicles,2015,16+,7.3,78%,True,False,False,False,True,2010,"['Sean Bean', 'Richie Campbell', 'Ryan Sampson', 'Tom Ward', 'Ed Stoppard', 'Vanessa Kirby', 'Elliot Cowan', 'Robbie Gee', 'Laurence Fox', 'Maeve Dermody', 'Frank Blake', 'Martin McCann', 'Paul Kennedy', 'Charlie Creed-Miles', 'Anna Maxwell Martin', 'Samuel West', 'Kerrie Hayes', 'Guy Henry', 'Francis Magee', 'Claire Benedict', 'Steven Berkoff', 'Mark Bazeley', 'Kate Dickie']","['Sean Bean', 'Patrick Irwin', 'Justin Thomson-Glover', 'Frank Doelger', 'David Tanner', 'Tracey Scoffield']","['Drama', 'Crime', 'Horror']",English
Meteor Garden,2018,16+,8.2,,True,False,False,False,True,2010,"['Shen Yue', 'Dylan Wang', 'Connor Leong', 'Darren Chen', 'Caesar Wu']",[],"['Drama', 'Comedy', 'Romance']",Chinese
Wu Assassins,2019,18+,6.4,83%,True,False,False,False,True,2010,"['Iko Uwais', 'Lawrence Kao', 'Katheryn Winnick', 'Lewis Tan', 'Byron Mann', 'Li Jun Li', 'Tommy Flanagan', 'Celia Au']","['David Simkins', 'Cameron Litvack', 'Jonathan Lloyd Walker', 'Katheryn Winnick', 'John Wirth', 'Tony Krantz', 'Michael Frislev', 'Chad Oakes', 'Stephen Fung', 'Iko Uwais']","['Drama', 'Action', 'Science-Fiction']",English
The Black Donnellys,2007,16+,8.1,40%,True,False,False,False,True,2000,"['Billy Lush', 'Jonathan Tucker', 'Keith Nobbs', 'Kirk Acevedo', 'Michael Stahl-David', 'Olivia Wilde', 'Tom Guiry']","['Sean Whitesell', 'Paul Haggis', 'Robert Moresco', 'Mark R. Harris']","['Drama', 'Crime']",English
H2O: Just Add Water,2006,all,7.2,,True,True,True,False,True,2000,"['Luke Mitchell', 'Claire Holt', 'Cariba Heine', 'Phoebe Tonkin', 'Angus McLaren', 'Annabelle Stephenson', 'Burgess Abernethy', 'Jamie Timony', 'Cleo Massey', 'Brittany Byrnes', 'Indiana Evans', 'Taryn Marler', 'Alan David Lee']","['Nicole Keeb', 'Arne Lohmann', 'Jonathan Shiff', 'Julia Adams', 'Cherrie Bottger', 'Kay Lawrence']","['Drama', 'Family', 'Fantasy']",English
Collateral,2018,7+,6.7,78%,True,False,False,False,True,2010,"['Carey Mulligan', 'John Simm', 'Nicola Walker', 'Billie Piper']","['S.J. Clarkson', 'George Faber', 'Lucy Richer', 'Mark Pybus']","['Drama', 'Crime']",English
1983,2018,18+,6.8,100%,True,False,False,False,True,2010,"['Robert Więckiewicz', 'Maciej Musiał', 'Michalina Olszańska', 'Zofia Wichłacz', 'Andrzej Chyra']","['Frank Marshall', 'Agnieszka Holland', 'Robert Zotnowski', 'Maciej Musiał', 'Joshua Long', 'Andrzej Besztak']","['Science-Fiction', 'Thriller', 'Espionage']",Polish
November 13: Attack on Paris,2018,18+,8.3,100%,True,False,False,False,True,2010,[],[],['Crime'],French
Black Butler,2008,16+,7.8,,True,True,False,False,True,2000,"['Daisuke Ono', 'Maaya Sakamoto', 'Emiri Katō', 'Hiroki Touchi', 'Jun Fukuyama', 'Junichi Suwabe', 'Koji Yusa', 'Romi Park', 'Shunji Fujimura', 'Yukari Tamura', 'Yûki Kaji']",[],"['Drama', 'Action', 'Anime']",Japanese
Green Eggs and Ham,2019,,8.2,100%,True,False,False,False,True,2010,"['Adam DeVine', 'Ilana Glazer', 'Diane Keaton', 'Keegan-Michael Key', 'Eddie Izzard', 'Jeffrey Wright', 'Jillian Bell', 'John Turturro', 'Tracy Morgan', 'Daveed Diggs', 'Michael Douglas']","['Sam Register', 'Jeff Kleeman', 'David Dobkin', 'Ellen DeGeneres', 'Mike Karz']","['Adventure', 'Children']",English
The Confession Tapes,2017,16+,7.5,100%,True,False,False,False,True,2010,[],[],['Crime'],English
Bad Blood,2017,18+,7.5,80%,True,False,False,False,True,2010,"['Kim Coates', 'Ryan McDonald', 'Sharon Taylor', 'Anna Hopkins', 'Louis Ferreira', 'Melanie Scrofano', 'Dylan Taylor', 'Daniel Kash', 'Franco Lo Presti', 'Lisa Berry', 'Johnny Falcone', 'Anthony LaPaglia', 'Paul Sorvino', 'Enrico Colantoni', 'Maxim Roy', 'Tony Nappo', 'Brett Donahue', 'Michelle Mylett']","['Simon Barry', 'Alison Lea Bingeman', 'Mark Montefiore', ""Patrick O'Sullivan"", 'Michael Konyves', 'Virginia Rankin', 'Josée Vallée']","['Drama', 'Crime']",English
Formula 1: Drive to Survive,2019,16+,8.6,,True,False,False,False,True,2010,[],[],['Sports'],English
The Great British Bake Off,2010,7+,8.6,,True,False,False,False,True,2010,"['Paul Hollywood', 'Mary Berry', 'Mel Giedroyc', 'Sue Perkins', 'Prue Leith', 'Noel Fielding', 'Sandi Toksvig', 'Matt Lucas']",['Anna Beattie'],['Food'],English
The Trials of Gabriel Fernandez,2020,18+,8.2,80%,True,False,False,False,True,2020,[],[],['Crime'],English
Ugly Delicious,2018,18+,7.8,100%,True,False,False,False,True,2010,"['David Chang', 'Peter Meehan']",[],"['Food', 'Travel']",English
The Night Shift,2014,16+,7.4,30%,True,False,False,False,True,2010,"['Brendan Fehr', 'Eoin Macken', 'J.R. Lemon', 'Jill Flint', 'Robert Bailey, Jr.', 'Ken Leung', 'Scott Wolf', 'Tanaya Beatty', 'Freddy Rodriguez', 'Jeananne Goossen', 'Daniella Alonso']","['Carla Kettner', 'Janet Lin', 'Jeff Judah', 'Gabe Sachs', 'Pierre Morel', 'George W. Perkins', 'Dailyn Rodriguez', 'Tom Garrigus', 'Tom Garrigus']","['Drama', 'Action', 'Medical']",English
Impractical Jokers,2011,16+,8.5,,True,False,False,False,True,2010,"['Brian Quinn', 'James Murray', 'Sal Vulcano', 'Joe Gatto']","['Brian Quinn', 'James Murray', 'Sal Vulcano', 'Joe Gatto', 'Marina Catala', 'Pete McPartland Jr.']",['Comedy'],English
The Andy Griffith Show,1960,all,8.3,,True,False,True,False,True,1960,"['Andy Griffith', 'Ron Howard', 'Frances Bavier', 'Don Knotts']","['Sheldon Leonard', 'Danny Thomas']",['Comedy'],English
Itaewon Class,2020,,8.2,,True,False,False,False,True,2020,"['Park Seo Joon', 'Kim Da Mi', 'Kwon Na Ra', 'Yoo Jae Myung', 'Ahn Bo Hyun', 'Kim Hye Eun', 'Ryoo Kyung Soo', 'Kim Dong Hee', 'Lee Joo Yeong', 'Chris Lyon', 'Son Hyun Joo']",[],"['Drama', 'Romance']",Korean
Aquarius,2015,16+,7.1,77%,True,False,False,False,True,2010,"['David Duchovny', 'Gethin Anthony', 'Grey Damon', 'Chance Kelly', 'Emma Dumont', 'Ambyr Childers', ""Brían F. O'Byrne"", 'Claire Holt', 'Michaela McManus', 'Madisen Beaty', 'Cameron Deane Stewart']","['David Duchovny', 'Melanie Greene', 'Becky Clements', 'Marty Adelstein', 'John McNamara']","['Drama', 'Crime']",English
Caliphate,2020,,8.2,,True,False,False,False,True,2020,[],[],[],[]
Black Summer,2019,18+,6.4,75%,True,False,False,False,True,2010,"['Jaime King', 'Justin Chu Cary', 'Kelsey Flower', 'Christine Lee', 'Sal Velez Jr.', 'Erika Hau', 'Gwynyth Walsh', 'Edsson Morales', 'Mustafa Alabssi', 'Stafford Perry']","['Karl Schaefer', 'John Hyams']","['Drama', 'Action', 'Horror']",English
Bonding,2019,16+,7.2,64%,True,False,False,False,True,2010,"['Brendan Scannell', 'Zoe Levin', 'Micah Stock', 'Theo Stockman', 'Nana Mensah', ""D'Arcy Carden"", 'Eric Berryman']","['Tony Hernandez', 'John Skidmore', 'Rightor Doyle', 'Jacob Perlin', 'Nina Soriano', 'David Sigurani', 'Dara Gordon', 'Patrick Holzman']","['Drama', 'Comedy', 'Adult']",English
Miraculous: Tales of Ladybug & Cat Noir,2015,7+,7.8,,True,False,False,False,True,2010,[],[],[],[]
Animaniacs,1993,all,7.9,,True,True,False,False,True,1990,[],"['Steven Spielberg', 'Darryl Frank', 'Justin Falvey', 'Sam Register']",['Comedy'],English
When Calls the Heart,2014,all,8.2,,True,False,False,False,True,2010,"['Erin Krakow', 'Jack Wagner', 'Pascale Hutton', 'Kavan Smith', 'Lori Loughlin', 'Daniel Lissing', 'Paul Greene', 'Chris McNally', 'Kevin McGarry']","['Alfonso H. Moreno', 'Michael Shepard', 'Neill Fearnley', 'Robin Bernheim', 'Brian Bird', 'Erin Krakow', 'Susie Belzberg', 'Michael Landon, Jr.', 'Brad Krevoy', 'Jimmy Townsend', 'Francisco J. Gonzalez', 'Alexandre Coscas', 'Eric Jarboe', 'Eric Jarboe', 'Elizabeth Stewart', 'Vicki Sotheran', 'Greg Malcolm', 'Annie Brunner', 'Amanda Phillips Atkins', 'Derek Thompson']","['Drama', 'Romance']",English
Young & Hungry,2014,16+,7.4,60%,True,False,False,False,True,2010,"['Emily Osment', 'Aimee Carrero', 'Rex Lee', 'Jonathan Sadowski', 'Kym Whitley']",['Ashley Tisdale'],"['Comedy', 'Food', 'Romance']",English
Club de Cuervos,2015,18+,8.2,80%,True,False,False,False,True,2010,"['Stephanie Cayo', 'Luis Gerardo Méndez', 'Mariana Treviño', 'Ianis Guerrero', 'Antonio de la Vega', 'Juan Pablo de Santiago', 'Joaquin Ferreira', 'Said Sandoval', 'Gutemberg Brito', 'Daniel Giménez Cacho', 'Jesús Zavala', 'Emilio Guerrero']",[],"['Drama', 'Comedy', 'Sports']",Spanish
I'm Sorry,2017,7+,7.9,75%,True,False,False,False,True,2010,"['Tom Everett Scott', 'Andrea Savage', 'Olive Petrucci']","['Andy Samberg', 'Jorma Taccone', 'Akiva Schaffer', 'Andrea Savage', 'Will Ferrell', 'Adam McKay', 'Joey Slamon', 'Jessica Elbaum', 'Krister Johnson', 'Billy Rosenberg', 'Jason Zaro', 'Angel Annussek', 'Simmy Kustanowitz', 'Ravi Nandan']",['Comedy'],English
The Universe,2007,16+,8.8,,True,False,False,False,True,2000,[],[],[],[]
The Chalet,2018,18+,7.0,100%,True,False,False,False,True,2010,[],[],[],[]
My Next Guest Needs No Introduction With David Letterman,2018,18+,7.9,83%,True,False,False,False,True,2010,[],[],[],[]
Still Game,2002,16+,8.9,,True,False,False,False,True,2000,"['Ford Kiernan', 'Greg Hemphill']",[],['Comedy'],English
NOVA,1974,7+,8.7,,True,False,True,False,True,1970,[],[],[],English
The Confession Killer,2019,16+,7.4,100%,True,False,False,False,True,2010,[],[],['Crime'],English
Father Brown,2013,7+,7.7,,True,False,False,False,True,2010,"['Mark Williams', 'Sorcha Cusack', 'John Burton', 'Jack Deam', 'Nancy Carroll', 'Alex Price', 'Emer Kenny', 'Tom Chambers', 'Hugo Speer']",[],"['Drama', 'Crime']",English
Bordertown,2016,7+,7.6,39%,True,False,False,False,True,2010,"['Hank Azaria', 'Nicholas Gonzalez', 'Missi Pyle', 'Judah Friedlander', 'Alex Borstein', 'Alex Borstein', 'Nicholas Gonzalez', 'John Viener', 'Zach Villa', 'Carlos Alazraqui', 'Jacqueline Piñol', 'Efren Ramirez', 'Stephanie Escajeda', 'Seth MacFarlane']","['Seth MacFarlane', 'Mark Hentemann', 'Dan Vebber', 'Alex Carter']",['Comedy'],English
Battle Creek,2015,16+,7.3,96%,True,False,False,False,True,2010,"['Aubrey Dollar', 'Dean Winters', 'Edward Fordham, Jr.', 'Janet McTeer', 'Josh Duhamel', 'Kal Penn']","['Russel Friend', 'Garrett Lerner', 'Thomas L. Moran', 'Richard Heus', 'Andrew Bernstein', 'David Shore', 'Bryan Singer', 'Vince Gilligan', 'Mark Johnson']","['Drama', 'Comedy', 'Crime']",English
Valhalla Murders,2019,18+,7.1,,True,False,False,False,True,2010,[],[],[],[]
Scream: The TV Series,2015,16+,7.2,,True,False,False,False,True,2010,"['Willa Fitzgerald', 'Bex Taylor-Klaus', 'John Karna', 'Tracy Middendorf', 'Carlson Young', 'Amadeus Serafini', 'Santiago Segura', 'Jason Wiles', 'Kiana Ledé', 'Connor Weil', 'RJ Cyler', 'Jessica Sula', 'Giorgia Whigham', 'Tyga', 'Keke Palmer', 'Christopher Jordan Wallace', 'Tyler Posey']","['Jay Beattie', 'Dan Dworkin', 'Liz Gateley', 'Tony Disanto', ""Eoghan O'Donnell"", 'Cathy Konrad', 'Michael Gans', 'Richard Register', 'Harvey Weinstein', 'Bob Weinstein', 'Wes Craven', 'Kat Landsberg', 'Marianne Maddalena']","['Horror', 'Mystery']",English
Special,2019,18+,7.6,95%,True,False,False,False,True,2010,"[""Ryan O'Connell"", 'Jessica Hecht', 'Punam Patel', 'Patrick Fabian', 'Marla Mindelle', 'Augustus Prew', 'Jason Michael Snow', 'Kat Rogers', 'Bonnie']","['Jim Parsons', ""Ryan O'Connell"", 'Anna Dokoza', 'Todd Spiewak', 'Eric Norsoph']",['Comedy'],English
CSI: Miami,2002,16+,6.4,,True,True,False,False,True,2000,"['David Caruso', 'Emily Procter', 'Adam Rodriguez', 'Khandi Alexander', 'Rex Linn', 'Rory Cochrane', 'Jonathan Togo', 'Sofia Milos', 'Omar Benson Miller', 'Kim Delaney', 'Eddie Cibrian', 'Eva LaRue', 'Megalyn Echikunwoke']","['Sunil Nayar', 'Jonathan Littman', 'Jerry Bruckheimer', 'Anthony E. Zuiker', 'Carol Mendelsohn', 'Ann Donahue', 'Elizabeth Devine']","['Drama', 'Crime']",English
3Below: Tales of Arcadia,2018,7+,7.8,100%,True,False,False,False,True,2010,"['Hayley Atwell', 'Tatiana Maslany', 'Diego Luna', 'Nick Offerman', 'Glenn Close', 'Alon Aboutboul', 'Nick Frost', 'Darin dePaul', 'Cheryl Hines', 'Tom Kenny', 'Chris Obi', 'Cole Sand', 'Frank Welker', 'Steven Yeun', 'Tatiana Maslany', 'Andy Garcia']",[],"['Action', 'Adventure', 'Fantasy']",English
Mystery Science Theater 3000: The Return,2017,16+,8.0,100%,True,False,False,False,True,2010,[],[],[],[]
Dear White People,2017,16+,6.2,95%,True,False,False,False,True,2010,"['Logan Browning', 'DeRon Horton', 'Antoinette Robertson', 'Brandon Bell', 'Ashley Blaine Featherson', 'John Patrick Amedori', 'Marque Richardson, II', 'Giancarlo Esposito']","['Yvette Lee Bowser', 'Nastaran Dibai', 'Justin Simien', 'Stephanie Allain Bray', 'Julia Lebedev', 'Leonid Lebedev']","['Drama', 'Comedy']",English
LEGO Ninjago: Masters of Spinjitzu,2012,all,6.8,,True,False,True,False,True,2010,"['Jillian Michaels', 'Sam Vincent', 'Brent Miller', 'Brian Drummond', 'Ian James Corlett', 'John Novak', 'Kelly Metzger', 'Kirby Morrow', 'Mark Oliver', 'Michael Adamthwaite', 'Michael Kopsa', 'Paul Dobson', 'Vincent Tong', 'Jennifer Hayward', 'Alan Marriott', 'Kathleen Barr', 'Michael Dobson', 'Heather Doerksen', 'Brian Dobson', 'Britt McKillip']",[],"['Action', 'Adventure', 'Children']",English
The English Game,2020,,7.6,67%,True,False,False,False,True,2020,"['Edward Holcroft', 'Kevin Guthrie', 'Charlotte Hope', 'Craig Parkinson', 'James Harkness', 'Niamh Walsh']","['Julian Fellowes', 'Ben Vanstone', 'Eleanor Moran', 'Rory Aitken', 'Ben Pugh', 'Eddie Charlton']","['Drama', 'Sports']",English
White Gold,2017,18+,7.4,88%,True,False,False,False,True,2010,"['Ed Westwick', 'James Buckley', 'Joe Thomas', 'Linzey Cocker', 'Nigel Lindsay', ""Lauren O'Rourke""]",[],['Comedy'],English
Crazyhead,2016,,7.3,100%,True,False,False,False,True,2010,"['Susan Wokoma', 'Cara Theobold', 'Lewis Reeves', 'Arinzé Kene', 'Riann Steele', 'Tony Curran', 'Charlie Archer', 'Luke Allen-Gale']","['Howard Overman', 'Julian Murphy', 'Johnny Capps']","['Comedy', 'Horror']",English
The Protector,2018,16+,6.9,,True,False,False,False,True,2010,"['Çağatay Ulusoy', 'Hazar Ergüçlü', 'Okan Yalabık', 'Ayça Ayşin Turan', 'Yurdaer Okur', 'Burçin Terzioğlu', 'Mehmet Kurtuluş', 'Saygın Soysal', 'Çigdem Selisik Onat', 'Ayse Melike Çerçi', 'Kubilay Karslioglu', 'Engin Öztürk', 'Boran Kuzum']",[],"['Action', 'Fantasy', 'Thriller']",Turkish
Dirty John,2018,16+,7.1,71%,True,False,False,False,True,2010,"['Connie Britton', 'Eric Bana', 'Julia Garner', 'Juno Temple', 'Amanda Peet', 'Christian Slater', 'Rachel Keller']","['Jeffrey Reiner', 'Connie Britton', 'Evan Wright', 'Diana Son', 'Alexandra Cunningham', 'Mark Herzog', 'Charles Roven', 'Richard Suckle', 'Jessica Rhoades', 'Eric Bana', 'Christopher G. Cowen', 'Christopher Argentieri']","['Drama', 'Crime', 'Thriller']",English
Get Shorty,2017,18+,8.2,,True,False,False,False,True,2010,"[""Chris O'Dowd"", 'Ray Romano', 'Sean Bridgers', 'Carolyn Dodd', 'Goya Robles', 'Lidia Porto', 'Megan Stevenson', 'Isaac Keys', 'Sarah Stiles', 'Lucy Walters']","['Allen Coulter', 'Adam Arkin', 'Davey Holmes']","['Drama', 'Comedy', 'Crime']",English
30 for 30,2009,7+,8.8,,True,False,False,False,True,2000,[],[],['Sports'],English
Bard of Blood,2019,,7.0,,True,False,False,False,True,2010,"['Emraan Hashmi', 'Sobhita Dhulipala', 'Jaideep Ahlawat', 'Shishir Sharma', 'Viineet Kumar', 'Danish Husain', 'Sahiba Bali', 'Asheish Nijhawan', 'Amit Bimrot']",[],"['Action', 'Thriller', 'Espionage']",Hindi
The Great Train Robbery,2013,,7.4,78%,True,False,False,False,True,2010,"['Jack Gordon', 'Luke Evans', 'Neil Maskell', 'Martin Compston', 'Paul Anderson', 'Jack Roth', 'Robert Glenister', 'Jim Broadbent', 'Nick Moran', 'Tim Pigott-Smith', 'James Wilby', 'James Fox', 'Tom Chambers']",[],"['Drama', 'Crime']",English
Devilman: Crybaby,2018,,7.6,80%,True,False,False,False,True,2010,[],[],[],[]
Good Witch,2015,7+,7.3,,True,False,False,False,True,2010,"['Catherine Bell', 'James Denton', 'Bailee Madison']","['Catherine Bell', 'Frank Siracusa', 'Sue Tenney', 'Orly Adelson', 'Daniel Petrie Jr.', 'Craig Pryce', 'Jonathan Eskenas']","['Drama', 'Family', 'Mystery']",English
It's Bruno!,2019,7+,7.5,100%,True,False,False,False,True,2010,['Solvan Naim'],[],['Comedy'],English
Gurren Lagann,2007,16+,8.3,,True,False,False,False,True,2000,[],[],[],[]
Gentefied,2020,16+,7.3,88%,True,False,False,False,True,2020,"['Karrie Martin', 'Joseph Julian Soria', 'Carlos Santos', 'Joaquín Cosío']","['Monica Macer', 'America Ferrera', 'Teri Weinberg', 'Marvin Lemus', 'Charles D. King', 'Kim Roth', 'Linda Yvette Chavez', 'Aaliyah Williams']","['Drama', 'Comedy']",English
Victorious,2010,7+,6.9,,True,False,False,False,True,2010,"['Victoria Justice', 'Leon Thomas', 'Matt Bennett', 'Elizabeth Gillies', 'Ariana Grande', 'Avan Jogia', 'Daniella Monet']",['Dan Schneider'],"['Drama', 'Comedy', 'Family']",English
Dynasty,2017,16+,7.3,,True,False,False,False,True,2010,"['Elizabeth Gillies', 'Grant Show', 'Rob Riley', 'Rafael De La Fuente', 'Alan Dale', 'Sam Adegoke', 'Elaine Hendrix', 'Nicollette Sheridan', 'Adam Huber', 'Maddison Brown', 'James Mackay', 'Sam Underwood', 'Nathalie Kelley', 'Ana Brenda Contreras', 'Daniella Alonso', 'Michael Michele']","['Josh Schwartz', 'Stephanie Savage']","['Drama', 'Family', 'Romance']",English
The Curious Creations of Christine McConnell,2018,7+,7.7,100%,True,False,False,False,True,2010,"['Christine McConnell', 'Drew Massey', 'Mick Ignis', 'Colleen Smith', 'Michael Oosterom', 'Tim Lagasse']",[],"['Comedy', 'Food', 'Horror']",English
El Chapo,2017,16+,7.8,,True,False,False,False,True,2010,"['Humberto Busto', 'Alejandro Aguilar', 'Rodrigo Abed', 'Luis Fernando Peña', 'Juan Carlos Oliva', 'Rolf Petersen', 'Carlos Hernán Romo', 'Héctor Holten', 'Diego Vásquez', 'Teté Espinoza', 'Luis Rabago', 'Dolores Heredia', 'Valentina Acosta', 'Marco de la O']",[],"['Drama', 'Crime']",Spanish
Trinkets,2019,7+,7.1,50%,True,False,False,False,True,2010,"['Brianna Hildebrand', 'Kiana Madeira', 'Quintessa Swindell', 'Odiseas Georgiadis', 'Brandon Butler', 'Larry Sullivan', 'Dana Green', 'October Moore', 'Linden Ashby']","['Sarah Goldfinger', 'Linda Gase', 'Kirsten Smith', 'Amy Andelson', 'Emily Meyer', 'Shelley Zimmerman', 'Brin Lukens', 'Rebecca Glashow']","['Drama', 'Comedy', 'Crime']",English
The Get Down,2016,16+,8.3,,True,False,False,False,True,2010,"['Justice Smith', 'Shameik Moore', 'Herizen F. Guardiola', 'Yahya Abdul-Mateen II', 'Jimmy Smits', 'Tremaine Brown Jr.', 'Skylan Brooks']",[],"['Drama', 'Music']",English
Masum,2017,16+,8.5,,True,False,False,False,True,2010,[],[],"['Drama', 'Crime', 'Mystery']",Turkish
My Little Pony: Friendship Is Magic,2010,7+,7.6,,True,True,False,False,True,2010,[],[],[],[]
Fuller House,2016,7+,6.8,28%,True,False,False,False,True,2010,"['Dashiell Messitt', 'Fox Messitt', 'Candace Cameron Bure', 'Jodie Sweetin', 'Andrea Barber', 'Soni Nicole Bringas', 'Elias Harger', 'Michael Campion', 'Juan Pablo Di Pace', 'Scott Weinger', 'John Brotherton', 'Adam Hagenbuch', 'Ashley Liao']","['Steve Baldikoski', 'Bryan Behar', 'Linda Videtti Figueiredo', 'John Stamos', 'Maria Brown-Gallenberg', 'Amy Engelberg', 'Wendy Engelberg', 'John D. Beck', 'Thomas L. Miller', 'Robert L. Boyett', 'Jeff Franklin', 'Ron Hart', 'Bob Keyes', 'Doug Keyes']","['Comedy', 'Family']",English
Kill la Kill,2013,18+,7.9,,True,False,False,False,True,2010,"['Ami Koshimizu', 'Toshihiko Seki', 'Mayumi Shintani', 'Hiroyuki Yoshino', 'Yukari Tamura', 'Tetsu Inada', 'Mitsuo Iwata', 'Chiaki Takahashi', 'Yuji Ueda', 'Ryouka Yuzuki', 'Aya Suzaki']",[],"['Action', 'Adventure', 'Anime', 'Fantasy']",Japanese
Dark Tourist,2018,18+,7.6,70%,True,False,False,False,True,2010,['David Farrier'],[],"['Adventure', 'Travel']",English
Shtisel,2013,,8.7,,True,False,False,False,True,2010,"['Glickman Dov', 'Neta Riskin', 'Gabbay Sasson', 'Sara Hess', 'Miki Kam', 'Ayelet Zurer']",[],['Drama'],Hebrew
Great News,2017,7+,7.0,84%,True,False,False,False,True,2010,"['Briga Heelan', 'Andrea Martin', 'Adam Campbell', 'Nicole Richie', 'John Michael Higgins', 'Horatio Sanz']","['Jack Burditt', 'David Miner', 'Beth McCarthy-Miller', 'Tracey Wigfield', 'Dylan Morgan', 'Jessica Goldstein', 'Chrissy Pietrosh', 'Franco E. Bario', 'Robert Carlock', 'Tina Fey', 'Eric Gurian', 'Josh Siegal', 'Ben Dougan']",['Comedy'],English
Ouran High School Host Club,2006,16+,8.2,,True,True,False,False,True,2000,"['Mamoru Miyano', 'Yoshinori Fujita', 'Daisuke Kirii', 'Masaya Matsukaze', 'Ayaka Saito', 'Yoshizumi Kozue', 'Asai Kiyomi', 'Asai Kiyomi', 'Sayori Ishizuka', 'Sayori Ishizuka', 'Kurumi Mamiya', 'Narita Sayaka', 'Narita Sayaka', 'Ono Ryouko', 'Yuko Sanpei', 'Yuko Sasamoto', 'Fumihiko Tachiki', 'Tsubaki Risa', 'Tsubaki Risa', 'Watanabe Kei', 'Watanabe Tomomi', 'Shigenori Yamazaki', 'Miho Yamada', 'Yuji Ueda', 'Ayahi Takagaki', 'Cho', 'Takehito Koyasu', 'Kikuko Inoue', 'Kazuhiko Inoue', 'Mika Doi', 'Kenichi Suzumura', 'Yukari Tamura', 'Maaya Sakamoto']",[],"['Comedy', 'Anime', 'Romance']",Japanese
Grand Hotel,2011,7+,8.4,,True,False,False,False,True,2010,"['Roselyn Sánchez', 'Demian Bichir', 'Denyse Tontz', 'Wendy Raquel Robinson', 'Bryan Craig', 'Anne Winters', 'Shalim Ortiz', 'Feliz Ramirez', 'Lincoln Younes', 'Chris Warren, Jr.', 'Justina Adorno']",[],"['Drama', 'Crime', 'Mystery']",English
The Curse of Oak Island,2014,7+,7.0,,True,True,False,False,True,2010,"['Marty Lagina', 'Rick Lagina', 'Robert Clotworthy', 'Dan Blankenship', 'Fred Nolan']",['Kevin Burns'],"['Adventure', 'Nature']",English
Workin' Moms,2017,18+,7.5,,True,False,False,False,True,2010,"['Dani Kind', 'Catherine Reitman', 'Juno Rinaldi', 'Philip Sternberg', 'Ryan Belleville', 'Sarah McVie', 'Sadie Munroe', 'Jessalyn Wanlim', 'Nikki Duval', 'Oluniké Adeliyi', 'Peter Keleghan', 'Tennille Read', 'Donald MacLean Jr.', 'Aviva Mongillo', 'Kristin Booth', 'Inga Cadranel', 'Enuka Okuma']","['Catherine Reitman', 'Philip Sternberg', 'Tina Horwitz', 'Joe Sorge']","['Comedy', 'Family']",English
Z Nation,2014,18+,6.7,,True,False,False,False,True,2010,"['Nat Zang', 'Russell Hodgkinson', 'Kellita Smith', 'Keith Allan', 'Anastasia Baranova', 'DJ Qualls', 'Pisay Pao', 'Ramona Young', 'Grace Phipps', 'Matt Cedeño', 'Natalie Jongjaroenlarp', 'Sydney Viengluang', 'Michael Welch', ""Katy O'Brian"", 'Emilio Rivera', 'Tom Everett Scott', 'Joseph Gatt', 'Tara Holt', 'Holden Goyette', 'Lydia Hearst', 'Henry Rollins', 'Mario Van Peebles', 'Harold Perrineau']","['Karl Schaefer', 'Craig Engler', 'Craig Engler', 'David Rimawi', 'Paul Bales', 'David Michael Latt', 'Michael Cassutt', 'David Garber', 'Jodi Binstock', 'Steve Graham', 'John Hyams', 'Dan Merchant', 'Dan Merchant', 'Abram Cox']","['Action', 'Horror', 'Science-Fiction']",English
Losers,2019,,7.7,100%,True,False,False,False,True,2010,[],[],[],[]
"Roswell, New Mexico",2019,16+,6.1,55%,True,False,False,False,True,2010,"['Jeanine Mason', 'Nathan Parsons', 'Lily Cowles', 'Michael Vlamis', 'Tyler Blackburn', 'Michael Trevino', 'Heather Hemmens', 'Trevor St. John', 'Amber Midthunder', 'Karan Oberoi']","['Darryl Frank', 'Justin Falvey', 'Julie Plec', 'Christopher Hollier', 'Carina Adly MacKenzie', 'Kevin Kelly Brown', 'Lawrence Bender']","['Drama', 'Romance', 'Science-Fiction']",English
Comedians in Cars Getting Coffee,2012,16+,8.1,,True,False,False,False,True,2010,['Jerry Seinfeld'],"['Jerry Seinfeld', 'Tammy Johnston', 'David Tuohy']",['Comedy'],English
Conan,2010,16+,8.1,,True,False,False,False,True,2010,"[""Conan O'Brien"", 'Andy Richter', 'Jimmy Vivino', 'James Wormworth', 'Jerry Vivino', 'La Bamba', 'Mark Pender', 'Mike Merritt', 'Scott Healy', 'Sona Movsesian']",['Jeff Ross'],['Comedy'],English
