Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type,Decade,Actors,Producers,Genres,Language
The Walking Dead,2010,18+,8.2,81%,True,False,False,False,True,2010,"['Norman Reedus', 'Melissa McBride', 'Andrew Lincoln', 'Danai Gurira', 'Lauren Cohan', 'Chandler Riggs', 'Christian Serratos', 'Josh McDermitt', 'Steven Yeun', 'Alanna Masterson', 'Seth Gilliam', 'Ross Marquand', 'Sonequa Martin-Green', 'Jeffrey Dean Morgan', 'Cooper Andrews', 'Katelyn Nacon', 'Emily Kinney', 'Lennie James', 'Khary Payton', 'Scott Wilson', 'Laurie Holden', 'Michael Cudlitz', 'Avi Nash', 'Sarah Wayne Callies', 'Tom Payne', 'Callan McAuliffe', 'Cailey Fleming', 'Jon Bernthal', 'Austin Amelio', 'Eleanor Matsuura', 'IronE Singleton', 'Chad L. Coleman', 'David Morrissey', 'Nadia Hilker', 'Samantha Morton', 'Cassady McClincy', 'Jeffrey DeMunn', 'Lauren Ridloff', 'Pollyanna McIntosh', 'Michael Rooker', 'Lawrence Gilliard Jr.', 'Austin Nichols', 'Xander Berkeley', 'Steven Ogg', 'Ryan Hurst', 'Alexandra Breckenridge', 'Tovah Feldshuh', 'Madison Lintz', 'Andrew J. West', 'Michael James Shaw']","['Charles H. Eglee', 'Nicole Mirante-Matthews', 'Scott M. Gimple', 'Tom Luse', 'Robert Kirkman', 'Frank Darabont', 'Seth Hoffman', 'Jack LoGiudice', 'Caleb Womble', 'Channing Powell', 'Matthew Negrete', 'David Alpert', 'Denise Huth', 'Denise Huth', 'Glen Mazzara', 'Evan Reilly', 'Angela Kang', 'Angela Kang', 'Jim Barnes', 'Corey Reed', 'Julia Ruchman', 'Gale Anne Hurd', 'Greg Nicotero', 'Greg Nicotero', 'Eli Jorné', 'Alex Coley Brown', 'Joseph Incaprera', 'Christian Agypt']","['Drama', 'Action', 'Horror']",English
Dark,2017,16+,8.7,94%,True,False,False,False,True,2010,"['Louis Hofmann', 'Karoline Eichhorn', 'Stephan Kampwirth', 'Maja Schöne', 'Lisa Vicari', 'Jördis Triebel', 'Andreas Pietschmann', 'Paul Lux', 'Oliver Masucci', 'Moritz Jahn', 'Peter Benedict', 'Deborah Kaufmann', 'Gina Alice Stiebitz', 'Daan Lennard Liebrenz', 'Julika Jenkins', 'Carlotta von Falkenhayn', 'Leopold Hornung', 'Mark Waschke', 'Christian Pätzold', 'Dietrich Hollinderbäumer', 'Hermann Beyer', 'Christian Steyer', 'Anne Ratte-Polle', 'Lisa Kreuzer', 'Tatja Seibt', 'Walter Kreye', 'Nele Trebs', 'Lydia Maria Makrides', 'Tom Philipp', 'Ella Lee', 'Peter Schneider', 'Anton Rubtsov', 'Sebastian Hülk', 'Antje Traue', 'Lea Van Acken', 'Max Schimmelpfennig', 'Sandra Borgmann', 'Carina N. Wiese', 'Barbara Nüsse', 'Sebastian Rudolph', 'Ludger Bökelmann', 'Cordelia Wege', 'Arnd Klawitter', 'Sylvester Groth', 'Hans Diehl', 'Claude Heinrich', 'Angela Winkler', 'Luise Heyer', 'Winfried Glatzeder', 'Wolfram Koch', 'Jakob Diehl', 'Anne Lebinsky', 'Stephanie Amarell', 'Felix Kramer', 'Michael Mendl', 'Anatole Taubman', 'Joshio Marlon', 'Gwendolyn Göbel', 'Nina Kronjäger', 'Rike Sindler', 'Lena Urzendowsky', 'Béla Gábor Lenz', 'Roman Knižka', 'Florian Panzner', 'Katharina Spiering', 'Thomas Arnold', 'Sammy Scheuritzel', 'Valentin Opperman', 'Helena Pieske', 'Axel Werner', 'Franz Hartwig', 'Pablo Striebeck']","['Jantje Friese', 'Baran Bo Odar', 'Quirin Berg', 'Max Wiedemann', 'Justyna Muesch', 'Kelly Luegenbiehl', 'Amanda Krentzman', 'Erik Barmack', 'Lars Gmehling']","['Drama', 'Science-Fiction', 'Supernatural']",German
Ozark,2017,18+,8.4,81%,True,False,False,False,True,2010,"['Jason Bateman', 'Sofia Hublitz', 'Laura Linney', 'Skylar Gaertner', 'Julia Garner', 'Janet McTeer', 'Lisa Emery', 'Charlie Tahan', 'Tom Pelphrey', 'Jessica Frances Dukes', 'Jason Butler Harner', 'Jordana Spiro', 'Esai Morales', 'Peter Mullan']","['John Shiban', 'Chris Mundy', 'Ryan Farley', 'Jason Bateman', 'Alyson Feltes', 'Patrick Markey', 'Bill Dubuque', 'Mark Williams', 'Joe Hipps']","['Drama', 'Crime', 'Thriller']",English
Attack on Titan,2013,16+,8.8,94%,True,True,False,False,True,2010,"['Marina Inoue', 'Yui Ishikawa', 'Yûki Kaji', 'Hiroshi Kamiya', 'Shiori Mikami', 'Daisuke Ono']",[],"['Action', 'Adventure', 'Anime', 'Fantasy']",Japanese
Narcos,2015,18+,8.8,89%,True,False,False,False,True,2010,"['Pedro Pascal', 'Boyd Holbrook', 'Wagner Moura', 'Alberto Ammann', 'Paulina Gaitan', 'Raúl Méndez', 'Damián Alcázar', 'Francisco Denis', 'Diego Cataño', 'Paulina Garcia', 'Joanna Christie', 'Maurice Compte', 'Manolo Cardona', 'Bruno Bichir', 'Matias Varela', 'Arturo Castro', 'Andrea Londo', 'Jorge Jimenez', 'Eric Lange', 'Pêpê Rapazote', 'Michael Stahl-David', 'Matt Whelan', 'Stephanie Sigman', 'Cristina Umaña', 'Roberto Urbina', 'André Mattos', 'Florencia Lozano', 'Javier Cámara', 'Kerry Bishé', 'José María Yázpik']","[""Katie O'Connell"", 'Christophe Riandee', 'Sidonie Dumas', 'Eric Newman', 'Paul Marks', 'Tara Flynn', 'Cindy Holland', 'Peter Friedlander', 'Tara Duncan', 'Doug Miro', 'Eugene B. Stein', 'Andi Baiz', 'José Padilha', 'Carlo Bernard', 'Adam Fishbach']","['Drama', 'Action', 'Crime']",English
Fullmetal Alchemist: Brotherhood,2009,18+,9.1,100%,True,True,False,False,True,2000,"['Rie Kugimiya', 'Romi Park', 'Megumi Takamoto', 'Shinichiro Miki', 'Fumiko Orikasa', 'Kenji Utsumi', 'Keiji Fujiwara', 'Hidekatsu Shibata', 'Hiroyuki Yoshino', 'Kaori Nazuka', 'Kenji Hamada', 'Kenta Miyake', 'Kikuko Inoue', 'Kouichi Yamadera', 'Minami Takayama', 'Tetsu Shiratori', 'Yuji Ueda']",[],"['Action', 'Adventure', 'Anime', 'Fantasy']",Japanese
Community,2009,7+,8.5,88%,True,True,False,False,True,2000,"['Joel McHale', 'Gillian Jacobs', 'Danny Pudi', 'Alison Brie', 'Yvette Nicole Brown', 'Jim Rash', 'Ken Jeong', 'Donald Glover', 'Chevy Chase']","['Tristram Shapeero', 'Tim Hobert', 'Erik Sommers', 'Dan Harmon', 'Patrick Kienlen', 'Anthony Russo', 'Neil Goldman', 'Garrett Donovan', 'Gary Foster', 'Russ Krasnoff', 'Andy Bobrow', 'Hilary Winston', 'A.J. Morewitz', 'Joe Russo', 'Chris McKenna', 'Chris McKenna']",['Comedy'],English
Mindhunter,2017,18+,8.6,96%,True,False,False,False,True,2010,[],[],[],[]
Parks and Recreation,2009,16+,8.6,93%,True,True,True,False,True,2000,"['Amy Poehler', 'Nick Offerman', 'Aubrey Plaza', 'Aziz Ansari', ""Jim O'Heir"", 'Retta', 'Chris Pratt', 'Rashida Jones', 'Adam Scott', 'Rob Lowe', 'Paul Schneider']","['Michael Schur', 'Greg Daniels']",['Comedy'],English
Dexter,2006,18+,8.6,72%,True,False,False,False,True,2000,"['Michael C. Hall', 'Jennifer Carpenter', 'David Zayas', 'Lauren Vélez', 'James Remar', 'C.S. Lee', 'Desmond Harrington', 'Julie Benz', 'Geoff Pierson', 'Aimee Garcia', 'Erik King', 'Clancy Brown']","['Chip Johannessen', 'Michael Cuesta', 'Daniel Cerone', 'Daniel Cerone', 'Lauren Gussis', 'Charles H. Eglee', 'Wendy West', 'Wendy West', 'John Goldwyn', 'Clyde Phillips', 'Michael C. Hall', 'Jace Richdale', 'Jace Richdale', 'Tim Schlattmann', 'Tim Schlattmann', 'James Manos, Jr.', 'Manny Coto', 'Melissa Rosenberg', 'Sara Colleton', 'Scott Buck']","['Drama', 'Crime', 'Mystery']",English
